ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2021,"2021",43657,15026,"Ames, IA","16000US1901855","ames-ia"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2021,"2021",35540,4470,"Ames, IA","16000US1901855","ames-ia"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2021,"2021",26238,2669,"Ames, IA","16000US1901855","ames-ia"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2021,"2021",12864,1748,"Ames, IA","16000US1901855","ames-ia"
1,"Female",13,"Other Services Except Public Administration",2021,"2021",32292,9145,"Ames, IA","16000US1901855","ames-ia"
1,"Female",14,"Public Administration",2021,"2021",57452,23849,"Ames, IA","16000US1901855","ames-ia"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2020,"2020",21716,10001,"Ames, IA","16000US1901855","ames-ia"
0,"Male",2,"Construction",2020,"2020",45861,12596,"Ames, IA","16000US1901855","ames-ia"
0,"Male",3,"Manufacturing",2020,"2020",43655,6106,"Ames, IA","16000US1901855","ames-ia"
0,"Male",4,"Wholesale Trade",2020,"2020",31464,27066,"Ames, IA","16000US1901855","ames-ia"
0,"Male",5,"Retail Trade",2020,"2020",25214,6187,"Ames, IA","16000US1901855","ames-ia"
0,"Male",6,"Transportation & Warehousing, & Utilities",2020,"2020",42188,18579,"Ames, IA","16000US1901855","ames-ia"
0,"Male",7,"Information",2020,"2020",21727,7195,"Ames, IA","16000US1901855","ames-ia"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2020,"2020",71420,41548,"Ames, IA","16000US1901855","ames-ia"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2020,"2020",40326,11431,"Ames, IA","16000US1901855","ames-ia"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2020,"2020",26472,1840,"Ames, IA","16000US1901855","ames-ia"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2020,"2020",11662,1624,"Ames, IA","16000US1901855","ames-ia"
0,"Male",13,"Other Services Except Public Administration",2020,"2020",35588,13090,"Ames, IA","16000US1901855","ames-ia"
0,"Male",14,"Public Administration",2020,"2020",61795,16788,"Ames, IA","16000US1901855","ames-ia"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2020,"2020",17708,29554,"Ames, IA","16000US1901855","ames-ia"
1,"Female",2,"Construction",2020,"2020",69313,34043,"Ames, IA","16000US1901855","ames-ia"
1,"Female",3,"Manufacturing",2020,"2020",29136,10562,"Ames, IA","16000US1901855","ames-ia"
